month,channel,reason,core_cost
2024-06-01,800100,122,261760.0
2024-06-01,800100,67,1800.0
2024-06-01,800100,224,50448.0
2024-06-01,800100,161,600.0
2024-06-01,800100,154,60830.0
2024-06-01,800100,187,181400.0
2024-06-01,800100,22,400.0
2024-06-01,800100,74,25700.0
2024-06-01,800100,269,1091800.0
2024-06-01,800100,20,600.0
2024-06-01,800100,202,218533.0
2024-06-01,800100,223,2595.0
2024-06-01,800100,44,2656900.0
2024-06-01,800100,64,2200.0
2024-06-01,800100,216,146150.0
2024-06-01,800100,221,663000.0
2024-06-01,800100,63,372100.0
2024-06-01,800100,186,5080.0
2024-06-01,800100,79,1514790.0
2024-06-01,800100,251,2311900.0
2024-06-01,800100,199,30900.0
2024-06-01,800100,203,910.0
2024-06-01,800100,107,79200.0
2024-06-01,800100,190,51000.0
2024-06-01,800100,109,94200.0
2024-06-01,800100,144,66000.0
2024-06-01,800100,26,4800.0
2024-05-01,800100,122,373580.0
2024-05-01,800100,203,920.0
2024-05-01,800100,63,508900.0
2024-05-01,800100,109,99800.0
2024-05-01,800100,64,3100.0
2024-05-01,800100,161,2100.0
2024-05-01,800100,74,19000.0
2024-05-01,800100,67,2100.0
2024-05-01,800100,224,54588.0
2024-05-01,800100,223,17764.0
2024-05-01,800100,44,6270150.0
2024-05-01,800100,154,79410.0
2024-05-01,800100,190,59200.0
2024-05-01,800100,202,217661.0
2024-05-01,800100,107,120900.0
2024-05-01,800100,79,1635750.0
2024-05-01,800100,272,194500.0
2024-05-01,800100,216,163150.0
2024-05-01,800100,269,1803600.0
2024-05-01,800100,199,90100.0
2024-05-01,800100,20,1200.0
2024-05-01,800100,187,238000.0
2024-05-01,800100,221,531900.0
2024-05-01,800100,26,7400.0
2024-05-01,800100,186,4940.0
2024-05-01,800100,144,185900.0
2024-04-01,800100,154,69270.0
2024-04-01,800100,187,216400.0
2024-04-01,800100,202,241386.0
2024-04-01,800100,122,293550.0
2024-04-01,800100,109,96200.0
2024-04-01,800100,44,2523700.0
2024-04-01,800100,265,93200.0
2024-04-01,800100,190,58250.0
2024-04-01,800100,144,161700.0
2024-04-01,800100,203,310.0
2024-04-01,800100,272,8200.0
2024-04-01,800100,20,1200.0
2024-04-01,800100,224,56452.0
2024-04-01,800100,67,900.0
2024-04-01,800100,63,330200.0
2024-04-01,800100,186,3660.0
2024-04-01,800100,216,139800.0
2024-04-01,800100,221,428700.0
2024-04-01,800100,26,10600.0
2024-04-01,800100,64,4200.0
2024-04-01,800100,199,119200.0
2024-04-01,800100,74,9500.0
2024-04-01,800100,269,1311600.0
2024-04-01,800100,161,700.0
2024-04-01,800100,22,200.0
2024-04-01,800100,223,18846.0
2024-04-01,800100,79,1694620.0
2024-04-01,800100,107,52800.0
2024-03-01,800100,44,2533700.0
2024-03-01,800100,109,62700.0
2024-03-01,800100,223,23264.0
2024-03-01,800100,224,69140.0
2024-03-01,800100,22,800.0
2024-03-01,800100,67,2100.0
2024-03-01,800100,74,6600.0
2024-03-01,800100,202,330511.0
2024-03-01,800100,122,322190.0
2024-03-01,800100,26,23400.0
2024-03-01,800100,199,73000.0
2024-03-01,800100,255,267800.0
2024-03-01,800100,247,13000.0
2024-03-01,800100,190,77250.0
2024-03-01,800100,186,5400.0
2024-03-01,800100,20,1800.0
2024-03-01,800100,216,156350.0
2024-03-01,800100,154,78630.0
2024-03-01,800100,221,858900.0
2024-03-01,800100,187,252800.0
2024-03-01,800100,107,54300.0
2024-03-01,800100,269,772200.0
2024-03-01,800100,144,127900.0
2024-03-01,800100,79,1680060.0
2024-03-01,800100,161,1500.0
2024-03-01,800100,63,323700.0
2024-03-01,800100,64,4100.0
2024-02-01,800100,154,94810.0
2024-02-01,800100,67,4800.0
2024-02-01,800100,224,79160.0
2024-02-01,800100,79,1387110.0
2024-02-01,800100,122,286510.0
2024-02-01,800100,216,270600.0
2024-02-01,800100,161,1000.0
2024-02-01,800100,20,1500.0
2024-02-01,800100,74,5700.0
2024-02-01,800100,186,5080.0
2024-02-01,800100,251,164300.0
2024-02-01,800100,187,262600.0
2024-02-01,800100,63,442500.0
2024-02-01,800100,44,2562500.0
2024-02-01,800100,22,200.0
2024-02-01,800100,247,7000.0
2024-02-01,800100,107,18600.0
2024-02-01,800100,203,1170.0
2024-02-01,800100,269,1702200.0
2024-02-01,800100,109,67500.0
2024-02-01,800100,144,85800.0
2024-02-01,800100,26,10000.0
2024-02-01,800100,202,288984.0
2024-02-01,800100,221,395700.0
2024-02-01,800100,223,28813.0
2024-02-01,800100,190,74300.0
2024-02-01,800100,199,62700.0
2024-02-01,800100,64,2700.0
2024-01-01,800100,269,151000.0
2024-01-01,800100,190,70100.0
2024-01-01,800100,154,93840.0
2024-01-01,800100,202,305281.0
2024-01-01,800100,64,2900.0
2024-01-01,800100,79,1479770.0
2024-01-01,800100,161,1500.0
2024-01-01,800100,247,34200.0
2024-01-01,800100,251,784900.0
2024-01-01,800100,199,56500.0
2024-01-01,800100,109,69500.0
2024-01-01,800100,221,978000.0
2024-01-01,800100,107,120000.0
2024-01-01,800100,272,112700.0
2024-01-01,800100,144,133800.0
2024-01-01,800100,224,82927.0
2024-01-01,800100,122,373360.0
2024-01-01,800100,216,237050.0
2024-01-01,800100,44,6064850.0
2024-01-01,800100,63,668400.0
2024-01-01,800100,187,230200.0
2024-01-01,800100,26,8000.0
2024-01-01,800100,20,900.0
2024-01-01,800100,74,10200.0
2024-01-01,800100,67,5400.0
2024-01-01,800100,203,2700.0
2024-01-01,800100,186,7580.0
2024-01-01,800100,223,14241.0
