属性名,属性显示名,属性类型,更新方式,触发事件,属性说明,计算属性,计算逻辑,内容更新时间
device_id,,,user_set_once,Login,,device_id,,20231205
device_id,,,user_set_once,Logout,,device_id,,20231205
device_id,,,user_set_once,Register,,device_id,,20231205
device_id,,,user_set_once,Payment,,device_id,,20231205
open_id,,,user_set_once,Login,,open_id,,20231205
open_id,,,user_set_once,Logout,,open_id,,20231205
open_id,,,user_set_once,Register,,open_id,,20231205
open_id,,,user_set_once,Payment,,open_id,,20231205
zone_id,,,user_set_once,Login,,zone_id,,20231205
zone_id,,,user_set_once,Logout,,zone_id,,20231205
zone_id,,,user_set_once,Register,,zone_id,,20231205
zone_id,,,user_set_once,Payment,,zone_id,,20231205
os,,,user_set_once,Login,,os,,20231205
os,,,user_set_once,Logout,,os,,20231205
os,,,user_set_once,Register,,os,,20231205
os,,,user_set_once,Payment,,os,,20231205
install_ts,,,user_set_min,Login,,event_time,,20231205
install_ts,,,user_set_min,Logout,,event_time,,20231205
install_ts,,,user_set_min,Register,,event_time,,20231205
install_ts,,,user_set_min,Payment,,event_time,,20231205
firstpay_ts,,,user_set_min,Payment,,event_time,,20231205
lastlogin_ts,,,user_set_max,Login,,event_time,,20231205
lastlogin_ts,,,user_set_max,Logout,,event_time,,20231205
lastlogin_ts,,,user_set_max,Register,,event_time,,20231205
lastlogin_ts,,,user_set_max,Payment,,event_time,,20231205
lastpay_ts,,,user_set_max,Payment,,event_time,,20231205
paid_end,,,user_set,Logout,,paid_end,,20231205
free_end,,,user_set,Logout,,free_end,,20231205
core_end,,,user_set,Logout,,core_end,,20231205
sincetime_end,,,user_set,Logout,,sincetime_end,,20231205
device_list,,,user_add_to_set,Logout,,device_id,,20231205